cluster,n,m,modularity,cpm_score,connectivity,ktruss_vals
155605,26,26,2.8244733572781027e-07,22.75,1.0,2.0
1703,204,553,6.007103629506042e-06,345.94,1.0,6.0
236222,18,19,2.0639961932285078e-07,17.47,1.0,2.0
85589,37,62,6.735361594805147e-07,55.34,1.0,3.0
116303,31,34,3.693547524059984e-07,29.35,1.0,3.0
94382,35,45,4.888534537732586e-07,39.05,1.0,2.0
115860,31,36,3.910805913981585e-07,31.35,1.0,3.0
2644,132,297,3.2262187579043986e-06,210.54,1.0,4.0
174067,24,27,2.933123638825698e-07,24.24,1.0,3.0
15020,99,214,2.3246841562133067e-06,165.49,1.0,4.0
173634,24,26,2.8244826510724787e-07,23.24,1.0,2.0
53582,48,77,8.364692941523742e-07,65.72,1.0,3.0
37997,58,125,1.3579036489385375e-06,108.47,1.0,3.0
215994,20,27,2.933141356338272e-07,25.1,1.0,3.0
115588,31,38,4.128073227125951e-07,33.35,1.0,2.0
99741,34,40,4.345308945795055e-07,34.39,1.0,3.0
33666,62,91,9.885540508709001e-07,72.09,1.0,4.0
137390,28,40,4.345368539669882e-07,36.22,1.0,3.0
60812,45,57,6.192152578571166e-07,47.1,1.0,3.0
37150,59,86,9.34248244611881e-07,68.89,1.0,3.0
146219,27,28,3.041757647971985e-07,24.49,1.0,2.0
244301,17,21,2.281329261885852e-07,19.64,1.0,3.0
41751,55,132,1.4339584347345734e-06,117.15,1.0,4.0
205034,21,28,3.0417431582089503e-07,25.9,1.0,4.0
62844,44,86,9.342508598856185e-07,76.53999999999999,1.0,5.0
40744,56,62,6.735267142415464e-07,46.6,1.0,3.0
74640,40,54,5.866196575429938e-07,46.2,1.0,3.0
30993,65,133,1.444817397434578e-06,112.2,1.0,4.0
26479,71,147,1.5968647881725259e-06,122.15,1.0,5.0
30080,66,87,9.450757658449333e-07,65.55,1.0,4.0
3425,117,276,2.9980488277801585e-06,208.14,2.0,4.0
4298,103,218,2.368166803038255e-06,165.47,1.0,4.0
15388,98,187,2.031446561054013e-06,139.47,1.0,5.0
81700,38,53,5.757640912380159e-07,45.97,1.0,3.0
98741,34,45,4.888359528503499e-07,39.39,1.0,3.0
195499,22,26,2.824486116920178e-07,23.69,1.0,2.0
25237,73,124,1.3470450000147335e-06,97.72,1.0,4.0
74542,40,57,6.192135088535274e-07,49.2,1.0,3.0
55752,47,66,7.169629873338788e-07,55.19,1.0,3.0
71754,41,50,5.431744036653793e-07,41.8,1.0,2.0
3319,118,274,2.9764836958116728e-06,204.97,1.0,6.0
206105,21,21,2.2812999451278146e-07,18.9,1.0,2.0
122436,30,33,3.5849403067100747e-07,28.65,1.0,3.0
122827,30,38,4.1280998784827693e-07,33.65,1.0,3.0
38267,58,75,8.147521108397179e-07,58.47,1.0,3.0
163573,25,34,3.693530876366407e-07,31.0,1.0,3.0
78296,39,44,4.779839185707883e-07,36.59,1.0,3.0
104165,33,46,4.997010335224238e-07,40.72,1.0,3.0
22014,79,154,1.6729407867149278e-06,123.19,1.0,5.0
94293,35,36,3.910850359856702e-07,30.05,1.0,2.0
31723,64,114,1.238404606857825e-06,93.84,1.0,3.0
20298,83,133,1.4447916829217366e-06,98.97,1.0,3.0
38057,58,105,1.1406450388867785e-06,88.47,1.0,3.0
16314,95,133,1.444840360718747e-06,88.35,1.0,3.0
1520,224,1468,1.594485089731864e-05,1218.24,3.0,8.0
109570,32,45,4.888496134889101e-07,40.04,1.0,4.0
173465,24,37,4.019450794802004e-07,34.24,1.0,2.0
145667,27,33,3.584911386487264e-07,29.49,1.0,3.0
29433,67,111,1.205796258290213e-06,88.89,1.0,4.0
104355,33,45,4.888523396685937e-07,39.72,1.0,3.0
226344,19,24,2.6072199792195197e-07,22.29,1.0,2.0
